asset_id	reference_type	relative_path	url	checksum_algorithm	checksum	size	etag	reference_path	companion	source_format	ancestry	version
dbsnp_vcf	dbsnp	dbsnp/GCF_000001405.25.gz	https://ftp.ncbi.nih.gov/snp/archive/b157/VCF/GCF_000001405.25.gz	md5	35db22bcd166f904e4775dbbc29f5965	28194800139		dbsnp		directory	All	dbSNP157-GRCh37.p13
dbsnp_index	dbsnp	dbsnp/GCF_000001405.25.gz.tbi	https://ftp.ncbi.nih.gov/snp/archive/b157/VCF/GCF_000001405.25.gz.tbi	sha256	c253d6c11ead922ab805dc2f1225e1e826db09c67b6cbc419b2559349a83deb1	3007808		dbsnp		directory	All	dbSNP157-GRCh37.p13
dbsnp_assembly	dbsnp	dbsnp/assembly_report.txt	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/405/GCF_000001405.25_GRCh37.p13/GCF_000001405.25_GRCh37.p13_assembly_report.txt	sha256	a6cf8300aa2cef9188590bad2d9d54a5909f6d4d2da3f22aa5c5ba2fda1adab3	29119		dbsnp		directory	All	dbSNP157-GRCh37.p13
fasta_gzip	reference_fasta	fasta/human_g1k_v37.fasta.gz	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/technical/reference/human_g1k_v37.fasta.gz	sha256	8b6c538abf0dd92d3f3020f36cc1dd67ce004ffa421c2781205f1eb690bdb442	892331003		fasta/human_g1k_v37.fasta	fasta/human_g1k_v37.fasta.fai	fasta	All	1000G-GRCh37
fasta_index	reference_fasta	fasta/human_g1k_v37.fasta.fai	asset://human_g1k_v37.fasta.fai	sha256	04aa12dcb4e7131d9c7361082bfd02f8415ee11e956bf358a339f0d3c54180ab	2746		fasta/human_g1k_v37.fasta	fasta/human_g1k_v37.fasta.fai	fasta	All	1000G-GRCh37
genetic_maps	genetic_map	maps/plink.GRCh37.map.zip	https://bochet.gcc.biostat.washington.edu/beagle/genetic_maps/plink.GRCh37.map.zip	sha256	8e88141345844571bc63efac6c043ee29e8ca41f26087dc51b7f1918943a077b	23913120		maps/plink.GRCh37.map.zip		zip	All	Beagle-GRCh37
panel_chr1	imputation_panel	panel/chr1.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr1.1kg.phase3.v5a.b37.bref3	sha256	3247b638789cf255c0084a011711eccddef08c0529c04a22b837d181e8773d42	538096271		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr2	imputation_panel	panel/chr2.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr2.1kg.phase3.v5a.b37.bref3	sha256	8d6c41af2af1e91b9018c750d024f71a3d7b9e1a5ba9c1f1a1075e96a5ca1d5f	570900081		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr3	imputation_panel	panel/chr3.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr3.1kg.phase3.v5a.b37.bref3	sha256	2d222f07a3f2007a31b9e27a19966ab18b2c43d1e802af24b9544923c34ebc0a	475988388		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr4	imputation_panel	panel/chr4.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr4.1kg.phase3.v5a.b37.bref3	sha256	a00b81dac5cfd50d4f68d9a8bdbe748db9d7ee730a4a546492bd6a48443814bb	479817516		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr5	imputation_panel	panel/chr5.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr5.1kg.phase3.v5a.b37.bref3	sha256	64b1e0b12130839314330f88ed4428e1e62a48d483b2d0983ef842476dfc612a	426293904		panel		bref3_directory	European	1000G-phase3-v5a
